Issue ID,Issue Type,Summary,Priority,Labels,Story Points,Description,Parent
19,Story,ITIN-1: DB schema and API for ItineraryDay and ItineraryItem,High,sprint2,3,"As a developer, I want itinerary entities and endpoints so that the frontend can build the day-by-day planner.

Acceptance Criteria:
- Entities: ItineraryDay (trip_id, date), ItineraryItem (day_id, type, title, notes, start_time, end_time, order_index, status)
- Endpoints: GET /trips/:id/itinerary, CRUD for items
- Items auto-ordered by start_time",4
20,Story,ITIN-2: Day-by-day itinerary builder UI,High,sprint2,5,"As a traveler, I want to build a day-by-day itinerary so that I have a clear plan for each day.

Acceptance Criteria:
- For each date in trip range, show Day X / Date screen
- Add/edit/delete items: title, type (sightseeing/meal/transfer/other), start time, end time, notes
- Items auto-ordered by start time
- Navigate between days via swipe or date picker",4
21,Story,ITIN-3: Place entity and linking to itinerary items,Medium,sprint2,3,"As a traveler, I want to save and reuse places with addresses so that my itinerary is location-aware.

Acceptance Criteria:
- Place entity: name, address, optional URL, optional lat/lng
- When creating an itinerary item, choose existing place or create inline
- Place address and link shown on itinerary item",4
22,Story,ITIN-4: Today view with current and next activity,High,sprint2,5,"As a traveler, I want a Today view showing current and next activities so that I stay on track during the trip.

Acceptance Criteria:
- Today tab visible only when trip is active (today between start and end date)
- Shows current activity (by time) and next upcoming activity
- Mark items Done or Skipped; excluded from Next activity calculation
- If no activities remain: show You're done for today!",4
23,Story,ITIN-5: Adjust schedule when running late,Low,sprint2,2,"As a traveler, I want to bulk-shift future activities by an offset so that my plan stays realistic when I'm late.

Acceptance Criteria:
- From Today view, tap Running late and choose +15, +30, +60 minutes
- All future (not yet started) items shift start/end times
- Past and done items unchanged
- Confirmation prompt before applying",4
24,Story,NOTIF-1: Set up background job/queue service for reminders,High,sprint2,3,"As a developer, I want a background job queue so that notifications are reliable and independent of API requests.

Acceptance Criteria:
- BullMQ + Redis (or equivalent) set up
- Reminder entity: related_to_type, related_to_id, trigger_time, status
- API to schedule and cancel reminder jobs
- Jobs survive server restarts",5
25,Story,NOTIF-2: Pre-trip task reminders,High,sprint2,3,"As a traveler, I want reminders for upcoming pre-trip tasks so that I don't miss critical planning steps.

Acceptance Criteria:
- Reminder scheduled at due_date morning (09:00 user timezone) for each TripTask
- Fires again if task is overdue and still not done
- Tapping notification opens relevant task
- Trip-level toggle to enable/disable reminders",5
26,Story,NOTIF-3: Activity start reminders,High,sprint2,3,"As a traveler, I want reminders before each itinerary activity so that I know when to head to the next spot.

Acceptance Criteria:
- Notification at start_time minus lead_minutes for each itinerary item
- Default lead time: 30 minutes (configurable in settings)
- Tapping notification opens Today view on that item
- Cancelled if item deleted or marked done early",5
27,Story,UX-1: Settings screen for timezone and reminder lead time,Medium,sprint2,2,"As a traveler, I want to configure my timezone and reminder lead time so that notifications fire at the right local time.

Acceptance Criteria:
- Settings screen: timezone picker (auto-detected, editable), default lead time (15/30/60 min)
- Backend uses user timezone for all scheduling
- Do Not Disturb window setting suppresses notifications in that window",5
28,Story,DOC-1: Attach documents to a trip,Medium,sprint2,3,"As a traveler, I want to upload and store booking confirmations and tickets in the app so that I can find them quickly.

Acceptance Criteria:
- Upload files (PDF, image) to a trip with a label
- Documents listed under trip with name, type, upload date
- Tapping a file opens in-app viewer
- User can delete a document",7
29,Story,QA-1: End-to-end smoke tests for key flows,Medium,sprint2,2,"As a developer, I want end-to-end smoke tests so that regressions are caught before release.

Acceptance Criteria:
- Test: Sign up → create trip → see checklist and packing list
- Test: Create itinerary, mark item done in Today view
- Test: Pre-trip reminder fires for task due today
- Test: Activity reminder fires at start_time minus lead_time
- Tests run in CI on every PR",6

30,Epic,Expenses & Receipts,High,,,Epic covering travel expense capture, receipt photo upload, OCR extraction, review, and record management per trip.,
31,Epic,Expense Insights & Budgets,High,,,Epic covering expense dashboards, budget tracking, category insights, exports, and traveler spending analytics.,
32,Story,EXP-1: Expense and receipt data model + API,High,sprint3,5,"As a developer, I want trip-scoped expense and receipt entities with CRUD APIs so that the mobile app can store spending records consistently.

Acceptance Criteria:
- New entities: Expense, Receipt, optional ExpenseLineItem, optional Budget
- Expense fields include: trip_id, occurred_at, merchant_name, amount, currency, base_amount, base_currency, category, payment_method, notes, source, extraction_status
- Receipt fields include: expense_id, file_url, thumbnail_url, mime_type, uploaded_at, raw_ocr_json, confidence_score
- Endpoints include: GET /trips/:tripId/expenses, POST /trips/:tripId/expenses, GET /trips/:tripId/expenses/:id, PATCH /trips/:tripId/expenses/:id, DELETE /trips/:tripId/expenses/:id
- Ownership check: user can only access expenses for their own trips",30
33,Story,EXP-2: Expense list and detail UI,High,sprint3,5,"As a traveler, I want to browse and edit my expenses for a trip so that I can keep a complete spending log.

Acceptance Criteria:
- New Expenses screen available from trip dashboard quick links
- List shows merchant, category, amount, currency, date, and receipt status
- Detail screen allows edit and delete
- Filter controls: date range, category, payment method
- Search by merchant name and notes",30
34,Story,EXP-3: Manual expense entry flow,High,sprint3,3,"As a traveler, I want to add an expense manually so that I can record spending even without a receipt.

Acceptance Criteria:
- Add Expense form supports amount, currency, category, merchant, date/time, payment method, notes
- Category defaults include Food, Transport, Hotel, Shopping, Tickets, Cash, Card, Other
- Validation prevents negative or zero amounts
- Saved expense appears immediately in the list",30
35,Story,EXP-4: Receipt photo capture and upload,High,sprint3,5,"As a traveler, I want to take a photo of a receipt or choose one from my gallery so that I can keep proof of purchase.

Acceptance Criteria:
- User can capture with camera or upload from photo library
- Receipt image can be attached to a new or existing expense
- Upload progress and success/failure states shown
- Receipt thumbnail shown in expense detail
- User can replace or delete uploaded receipt",30
36,Story,EXP-5: Receipt OCR extraction service,High,sprint4,5,"As a traveler, I want the app to extract receipt details automatically so that I do not need to type everything manually.

Acceptance Criteria:
- OCR pipeline extracts merchant name, transaction date, total amount, currency, tax, and line items when available
- Extraction result stored with confidence score and raw OCR JSON
- Extraction status supports pending, success, failed, needs_review
- Retry supported for failed extraction",30
37,Story,EXP-6: OCR review and correction screen,High,sprint4,3,"As a traveler, I want to review and correct extracted receipt data so that my records stay accurate.

Acceptance Criteria:
- Review screen highlights extracted fields before final save
- User can edit merchant, date, amount, category, and notes
- Original receipt image remains visible during review
- Confirm action creates or updates the expense record",30
38,Story,EXP-7: Multi-currency support and conversion,Medium,sprint4,5,"As a traveler, I want to keep expenses in local currency while also seeing a normalized trip total so that multi-country trips are easy to understand.

Acceptance Criteria:
- Store original amount and currency on every expense
- Store converted base_amount and base_currency for reporting
- Trip has configurable base currency
- Conversion source and timestamp stored for auditability",30
39,Story,EXP-8: Quick add expense action,Medium,sprint4,2,"As a traveler, I want a quick way to add an expense so that I can record spending on the go.

Acceptance Criteria:
- Add Expense shortcut available from trip dashboard and expense list
- Default form focuses amount field first
- Supports save-and-add-another flow
- Last used category and payment method can be prefilled",30
40,Story,INS-1: Expense summary API,High,sprint4,5,"As a developer, I want a trip expense summary endpoint so that the app can render spending insights efficiently.

Acceptance Criteria:
- Endpoint: GET /trips/:tripId/expenses/summary
- Returns total spend, average per day, spend by category, spend by merchant, daily spend trend
- Supports optional filters by date range and category
- Summary calculated using normalized base currency totals",31
41,Story,INS-2: Expense dashboard UI,High,sprint4,5,"As a traveler, I want a dashboard for expenses so that I can understand where my money goes during the trip.

Acceptance Criteria:
- Dashboard cards show total spend, average per day, top category, and highest single expense
- Charts show category breakdown and daily spend trend
- Tapping a category or merchant drills into filtered expense list
- Dashboard respects selected date range and trip filters",31
42,Story,INS-3: Budget tracking and alerts,High,sprint5,5,"As a traveler, I want to set a budget and track remaining spend so that I can avoid overspending.

Acceptance Criteria:
- User can set trip budget and optional category budgets
- App shows spent, remaining, and percentage used
- Warning state shown when spend crosses threshold
- Over-budget state highlighted in dashboard and trip overview",31
43,Story,INS-4: CSV export for expenses,Medium,sprint5,3,"As a traveler, I want to export my expense records so that I can use them for reimbursement or accounting.

Acceptance Criteria:
- Export includes date, merchant, category, amount, currency, base amount, payment method, notes, receipt linked flag
- Export can be filtered by trip and date range
- CSV file generated from mobile app or backend endpoint
- Export completes with confirmation and share action",31
44,Story,EXP-9: Offline expense capture drafts,Medium,sprint5,5,"As a traveler, I want to save expenses offline so that I can keep recording when internet access is poor.

Acceptance Criteria:
- Manual expenses can be created offline as drafts
- Drafts sync automatically when connection returns
- Sync conflicts show clear resolution state
- Unsynced expenses are marked in the UI",30
45,Story,EXP-10: Duplicate receipt detection,Low,sprint5,3,"As a traveler, I want the app to warn me about duplicate receipts so that I do not double-count expenses.

Acceptance Criteria:
- Duplicate heuristic uses merchant, amount, date/time, and image similarity metadata
- User is warned before saving a likely duplicate
- User can override and keep both records",30
46,Story,EXP-11: Shared expense and split tracking,Medium,sprint5,5,"As a traveler, I want to mark an expense as shared so that I can track who owes what.

Acceptance Criteria:
- Expense can be marked shared with participant count or named participants
- App stores my paid amount and reimbursable share
- Summary can show net personal spend vs total paid",30
47,Story,EXP-12: Reimbursable expense flag,Medium,sprint5,2,"As a business traveler, I want to mark expenses as reimbursable so that I can separate personal and claimable spend.

Acceptance Criteria:
- Expense has reimbursable toggle
- Dashboard shows reimbursable total separately
- Export includes reimbursable field",30
48,Story,QA-2: End-to-end smoke tests for expense flows,Medium,sprint5,3,"As a developer, I want automated tests for expense capture and dashboards so that regressions are caught early.

Acceptance Criteria:
- Test: add manual expense and see it in list
- Test: upload receipt, extract fields, review, and save
- Test: budget threshold warning appears correctly
- Test: CSV export completes successfully in staging",31
